Date,Adj Close
2016-02-19,450.561432
2016-02-22,485.256104
2016-02-23,465.658325
2016-02-24,446.810669
2016-02-25,447.84216299999997
2016-02-26,454.21841399999994
2016-02-29,463.22030599999994
2016-03-01,459.844604
2016-03-02,476.347992
2016-03-03,479.16110199999997
2016-03-04,516.19989
2016-03-07,555.5830080000001
2016-03-08,503.072266
2016-03-09,501.19680800000003
2016-03-10,477.754547
2016-03-11,491.35110499999996
2016-03-14,504.009979
2016-03-15,481.50527999999997
2016-03-16,465.470795
2016-03-17,504.009979
2016-03-18,482.44296299999996
2016-03-21,464.814392
2016-03-22,466.689758
2016-03-23,452.15554800000007
2016-03-24,440.15298499999994
2016-03-29,425.712616
2016-03-30,440.43435700000003
2016-03-31,440.15298499999994
2016-04-01,425.618805
2016-04-04,416.523193
2016-04-05,405.73974599999997
2016-04-06,411.178375
2016-04-07,400.301056
2016-04-08,406.677429
2016-04-11,411.928467
2016-04-12,418.679871
2016-04-13,440.246826
2016-04-14,436.027222
2016-04-15,441.65338099999997
2016-04-18,429.65094000000005
2016-04-19,462.095062
2016-04-20,468.84643600000004
2016-04-21,455.812531
2016-04-22,449.90505999999993
2016-04-25,440.715668
2016-04-26,441.65338099999997
2016-04-27,448.96731600000004
2016-04-28,446.34182699999997
2016-04-29,453.09323099999995
2016-05-03,419.80511500000006
2016-05-04,408.271484
2016-05-05,414.741547
2016-05-06,413.991394
2016-05-09,390.642853
2016-05-10,392.330688
2016-05-11,399.175873
2016-05-12,380.797119
2016-05-13,386.141907
2016-05-16,399.082092
2016-05-17,406.771179
2016-05-18,394.862488
2016-05-19,392.893341
2016-05-20,402.270264
2016-05-23,404.33316
2016-05-24,407.333832
2016-05-25,414.929108
2016-05-26,419.99267599999996
2016-05-27,409.396729
2016-05-31,402.270264
2016-06-01,389.79895
2016-06-02,391.393036
2016-06-03,401.613831
2016-06-06,421.961792
2016-06-07,412.67865
2016-06-08,423.555908
2016-06-09,397.019226
2016-06-10,392.518219
2016-06-13,390.642853
2016-06-14,369.91986099999997
2016-06-15,393.549744
2016-06-16,384.172821
2016-06-17,397.488037
2016-06-20,406.864929
