Date,5375,5600,6400,6600,6775,6800,6825,6850,6875,6900,6925,6950,6975,7000,7025,7050,7075,7100,7125,7150,7175,7200,7225,7250,7275,7300,7325
21/03/2018,59,78,210.5,269.5,334,344,354.5,365.5,377,388.5,400,412.5,424.5,437.5,450.5,464,477.5,492,506,521,536,551.5,567,583,599.5,616,633
22/03/2018,70,92,243.5,309.5,381,392.5,404,416,428.5,441,454,467,480.5,494.5,508.5,523,538,553,568.5,584,600.5,616.5,633.5,650.5,667.5,685.5,703
23/03/2018,76,99,253,320,392,403.5,415,427.5,439.5,452.5,465.5,478.5,492,506,520.5,535,550,565,580.5,596.5,612.5,629,646,663,680.5,698.5,716.5
26/03/2018,80,104,266.5,337,413,425,437.5,450,463,476,489.5,503.5,517.5,532,547,562,577.5,593.5,609.5,626,643,660,677,695,713,731,749.5
27/03/2018,65.5,86,228,291,359.5,370,381.5,393,404.5,416.5,429,441.5,454.5,468,481.5,495.5,510,524.5,539.5,554.5,570.5,586,602.5,619,635.5,653,670.5
28/03/2018,65.5,85.5,223.5,284,350,360.5,371.5,382.5,393.5,405.5,417.5,429.5,442,455,468,481.5,495.5,509.5,524,538.5,554,569,585,601,617,634,651
29/03/2018,64,81.5,204,259.5,321,331,341,351.5,362,373,384.5,396,408,420.5,433,446,459,473,487,501,515.5,530.5,546,561.5,577.5,593.5,610
30/03/2018,64,81.5,204,259.5,321,331,341,351.5,362,373,384.5,396,408,420.5,433,446,459,473,487,501,515.5,530.5,546,561.5,577.5,593.5,610
02/04/2018,64,81.5,204,259.5,321,331,341,351.5,362,373,384.5,396,408,420.5,433,446,459,473,487,501,515.5,530.5,546,561.5,577.5,593.5,610
03/04/2018,63.5,82.5,215.5,275,340,350.5,361,372,383,394.5,406.5,418.5,431,444,457,470.5,484,498,512.5,527.5,542.5,557.5,573.5,589,605.5,622,639
04/04/2018,64.5,84,218.5,278,343.5,354,364.5,375.5,386.5,398,410,422,434.5,447.5,460.5,474,487.5,501.5,516,530.5,545.5,561,576.5,592.5,608.5,625,642
05/04/2018,50,65,169.5,217.5,270,278.5,287.5,296.5,305.5,315,325,335,345.5,356,367,378.5,390,402,414.5,427,440,453,466.5,480.5,494.5,509,524
06/04/2018,53,68,175,224,278.5,287,296,305.5,315,324.5,335,345.5,356,367,378.5,390,402,414,427,439.5,453,466.5,480.5,494.5,509.5,524,539.5
09/04/2018,49.5,64,167,214.5,267.5,276,285,294,303.5,313,323,333.5,344,354.5,366,377.5,389,401,413.5,426.5,439.5,452.5,466.5,480.5,495,509.5,524.5
10/04/2018,42.5,55.5,148,190.5,238.5,246.5,254.5,262.5,271,280,289,298.5,308,318,328,339,349.5,360.5,372,384,396,408.5,421,434,447.5,461.5,475.5
11/04/2018,43.5,56.5,150,193.5,242,249.5,257.5,266,274.5,283.5,292.5,302,312,322,332,342.5,353.5,365,376.5,388,400,412.5,425.5,438.5,452,466,480
12/04/2018,41,53.5,144,186.5,234,241.5,249.5,258,266.5,275,284,293.5,303,313,323,333.5,344.5,355.5,367,379,391,403.5,416,429,442.5,456.5,470.5
13/04/2018,40.5,52.5,139.5,181,227,234.5,242.5,250.5,259,267.5,276.5,285.5,295,304.5,314.5,325,335.5,346.5,358,369.5,381.5,394,406.5,419.5,432.5,446.5,460.5
16/04/2018,43,56,148,192,242,250,258.5,267,276,285.5,295,305,315,325.5,336,347.5,359,370.5,383,395.5,408,421.5,435,449,463,477.5,492.5
17/04/2018,37,48,131.5,172.5,219.5,227,235,243.5,252,261,270,279.5,289,299.5,310,320.5,331.5,343,355,367,379.5,392.5,405.5,419,433,447.5,462
18/04/2018,34.5,44,117,153,194,200.5,207.5,215,222.5,230.5,238.5,247,255.5,264.5,273.5,283.5,293,303.5,314,325,336,348,360,372,385,398,411
19/04/2018,34,43.5,115,149.5,189.5,196,203,210,217.5,225,233,241,249.5,258.5,267.5,277,286.5,296.5,307,317.5,328.5,340,351.5,363.5,376,389,402
20/04/2018,32,41.5,110,143.5,182,188.5,195,201.5,208.5,216,223.5,231.5,239.5,248,256.5,265.5,275,284.5,294.5,304.5,315.5,326,337.5,349,361,373.5,386
23/04/2018,30.5,39,102.5,133.5,169,175,181,187.5,194,201,208,215.5,223,231,239,247.5,256,265.5,274.5,284.5,294.5,304.5,315.5,326.5,338,349.5,361.5
