Date,5375,5600,6400,6600,6775,6800,6825,6850,6875,6900,6925,6950,6975,7000,7025,7050,7075,7100,7125,7150,7175,7200,7225,7250,7275,7300,7325
21/03/2018,1498.5,1294,631,491.5,382,367.5,353,339.5,325.5,312.5,299.5,286.5,274,262,250.5,239,227.5,217,206.5,196.5,186.5,177,168,159,150.5,142.5,134.5
22/03/2018,1423,1221.5,577.5,445,342.5,329,315.5,303,290,278,266,254.5,243,232,221.5,211,201,191,181.5,172.5,164,155.5,147,139.5,132,124.5,117.5
23/03/2018,1412.5,1212,570.5,438.5,337,323.5,310.5,297.5,285,273,261,249.5,238,227.5,216.5,206.5,196.5,187,177.5,168.5,160,151.5,143.5,135.5,128.5,121,114.5
26/03/2018,1369.5,1170,537,408.5,310.5,297.5,285,273,261,249.5,238,227,216.5,206,196,186.5,177,168,159,151,142.5,135,127.5,120,113.5,107,100.5
27/03/2018,1459.5,1256.5,603,467,361,347.5,333.5,320,307,294.5,282,269.5,258,246.5,235,224,213.5,203.5,193.5,184,174.5,165.5,157,148.5,140.5,133,125.5
28/03/2018,1493.5,1290,632.5,494.5,386.5,372,358,344,330.5,317.5,304.5,292,279.5,267.5,256,244.5,233.5,222.5,212.5,202,192.5,183,173.5,165,156.5,148,140.5
29/03/2018,1541.5,1335.5,662.5,519.5,406.5,391.5,377,362.5,348,334.5,321,307.5,295,282,270,258,246.5,235,224.5,213.5,203.5,193.5,184,174.5,166,157,149
30/03/2018,1541.5,1335.5,662.5,519.5,406.5,391.5,377,362.5,348,334.5,321,307.5,295,282,270,258,246.5,235,224.5,213.5,203.5,193.5,184,174.5,166,157,149
02/04/2018,1541.5,1335.5,662.5,519.5,406.5,391.5,377,362.5,348,334.5,321,307.5,295,282,270,258,246.5,235,224.5,213.5,203.5,193.5,184,174.5,166,157,149
03/04/2018,1503.5,1299,636.5,497.5,388,373.5,359.5,345.5,332,318.5,305.5,293,280.5,268.5,256.5,245.5,234,223.5,213,202.5,193,183.5,174,165,156.5,148.5,140.5
04/04/2018,1503,1298.5,637.5,498.5,389.5,375,361,347,333.5,320,307,294.5,282,270,258,246.5,235.5,224.5,214,204,194,184.5,175.5,166.5,157.5,149.5,141.5
05/04/2018,1656,1447,756.5,605,484,467.5,451.5,435.5,420,404.5,389.5,375,360.5,346.5,332.5,319,305.5,292.5,280,268,256,244,233,222,211.5,201,191
06/04/2018,1634,1425.5,737,587,467,451,435,419.5,404.5,389.5,374.5,360,346,332,318.5,305.5,292.5,280,267.5,256,244,233,222,211.5,201,191,181.5
09/04/2018,1647.5,1438.5,746,594.5,473.5,457,441,425.5,410,394.5,380,365,351,337,323,309.5,296.5,284,271.5,259,247.5,236,225,214,203.5,193.5,183.5
10/04/2018,1716,1505.5,802,646,520,503,486,469.5,453,437,421.5,406,390.5,375.5,361,346.5,332.5,319,305.5,292.5,279.5,267,255,243.5,232,220.5,210
11/04/2018,1712,1501.5,799.5,644,518.5,501.5,484.5,468,451.5,435.5,420,404.5,389.5,374.5,360,345.5,331.5,318,304.5,291.5,279,266.5,254.5,242.5,231.5,220.5,209.5
12/04/2018,1715.5,1504.5,799.5,643,516.5,499,482.5,465.5,449.5,433.5,417.5,402,386.5,371.5,357,342.5,328.5,315,301.5,288.5,275.5,263,251,239.5,228,216.5,206
