Date,Open,High,Low,Close,Adj Close,Volume
2016-02-19,3031.500000,3041.500000,3018.000000,3034.000000,2756.299316,2300337
2016-02-22,3070.500000,3103.500000,3066.000000,3082.000000,2799.905273,2019437
2016-02-23,3063.500000,3090.000000,3049.000000,3066.000000,2785.370361,2013370
2016-02-24,3069.500000,3073.000000,3028.500000,3038.000000,2759.932861,2609339
2016-02-25,3070.000000,3116.500000,3069.500000,3104.000000,2819.892334,2175797
2016-02-26,3128.500000,3150.000000,3096.780029,3097.000000,2813.532471,1864291
2016-02-29,3069.000000,3093.550049,3041.699951,3092.000000,2808.990234,2434407
2016-03-01,3081.000000,3150.179932,3071.000000,3148.500000,2860.319092,1785692
2016-03-02,3154.500000,3155.000000,3047.500000,3073.500000,2792.183594,2590040
2016-03-03,3072.000000,3078.500000,3034.000000,3057.500000,2777.647949,2110553
2016-03-04,3077.000000,3132.500000,3056.399902,3109.000000,2824.434326,2163296
2016-03-07,3098.000000,3110.000000,3069.500000,3087.000000,2804.448242,1695515
2016-03-08,3058.500000,3113.000000,3036.500000,3110.000000,2825.343262,1798539
2016-03-09,3107.000000,3140.000000,3097.500000,3119.500000,2833.973389,1807167
2016-03-10,3126.500000,3190.500000,3081.500000,3081.500000,2799.451660,3099326
2016-03-11,3112.000000,3125.500000,3086.500000,3096.000000,2812.623779,2040608
2016-03-14,3099.000000,3125.000000,3088.500000,3110.500000,2825.797119,1637597
2016-03-15,3088.000000,3158.000000,3086.500000,3143.500000,2855.776611,2161465
2016-03-16,3154.000000,3162.000000,3117.600098,3124.500000,2838.515869,1490646
2016-03-17,3137.000000,3145.500000,3064.600098,3110.000000,2825.343262,2454002
2016-03-18,3122.500000,3123.330078,3088.500000,3098.500000,2814.895508,3313611
2016-03-21,3090.000000,3108.500000,3078.500000,3100.000000,2816.258545,1820754
2016-03-22,3077.500000,3102.500000,3041.000000,3102.500000,2818.529297,2239644
2016-03-23,3115.000000,3169.500000,3110.729980,3165.000000,2875.308594,2243630
2016-03-24,3148.000000,3164.500000,3134.500000,3141.000000,2853.505127,1824302
2016-03-29,3138.500000,3175.500000,3138.500000,3164.500000,2874.854248,1800708
2016-03-30,3172.000000,3215.600098,3170.500000,3190.000000,2898.020264,2000839
2016-03-31,3181.000000,3183.000000,3146.000000,3152.500000,2863.953125,2045773
2016-04-01,3110.000000,3169.000000,3082.500000,3165.000000,2875.308594,2283106
2016-04-04,3171.000000,3222.000000,3159.000000,3178.000000,2887.118896,2025827
2016-04-05,3169.500000,3200.000000,3158.500000,3189.000000,2897.112061,2338064
2016-04-06,3198.500000,3242.000000,3170.750000,3242.000000,2945.260742,2038119
2016-04-07,3248.000000,3268.000000,3227.639893,3241.000000,2944.352539,1863765
2016-04-08,3258.500000,3266.000000,3217.000000,3238.500000,2942.081299,1504121
2016-04-11,3234.500000,3251.000000,3209.840088,3235.500000,2939.355957,1975036
2016-04-12,3232.000000,3247.000000,3208.500000,3239.500000,2942.989502,2278445
